,citing author name,citing paper title,cited paper title,affiliation,latitude,longitude,county,city,state,country
0,Sylvia Pinheiro,Children's Sharing Behaviour in the Virtual Environment,Emerging complexity in children's conceptualization of the wealthy and the poor,Queen's University,54.5842117,-5.9364324,County Antrim,Belfast,Northern Ireland,United Kingdom
1,Xin Zhao,The development and predictors of a preference for strivers over naturals in the United States and China,She succeeded despite lack of ability or resources: Children’s consideration of constraint in beliefs and reasoning about academic achievement.,East China Normal University,31.2284923,121.40211388976886,,Putuo District,Shanghai,China
2,Mikko Kangassalo,"The epistemic condition for moral responsibility: an examination of the searchlight view, George Sher's alternative, and a pragmatic view",Minimal but meaningful: Probing the limits of randomly assigned social identities,Tampere University,61.4949271,23.7814965,,Tampere,Pirkanmaa,Finland
3,Zhen Wu,To punish or to restore: how children evaluate victims' responses to immorality,Children’s restorative justice in an intergroup context,Tsinghua University,40.002290450000004,116.3209629696906,,Haidian District,Beijing,China
4,Rei (Wen-Ying) Lee,Judging robot ability: How people form implicit and explicit impressions of robot competence.,Testing the automaticity features of the Affect Misattribution Procedure: The roles of awareness and intentionality,Cornell University,42.4529076,-76.48008423030923,Tompkins County,City of Ithaca,New York,United States
5,Chunliang Feng, Brain responses to self-and other-unfairness under resource distribution context: Meta-analysis of fMRI studies,In defense of the commons: Young children negatively evaluate and sanction free riders,South China Normal University,23.1430206,113.33995829561603,,Tianhe District,Guangdong Province,China
6,CECILIA WAINRYB,Taking a developmental perspective on restorative justice in schools,Children’s restorative justice in an intergroup context,University of Utah,40.762813699999995,-111.83687191368261,Salt Lake County,Salt Lake City,Utah,United States
7,Jacqueline M. Chen,Broadening the stimulus set: introducing the American multiracial faces database,To which world regions does the valence–dominance model of social perception apply?,University of Utah,40.762813699999995,-111.83687191368261,Salt Lake County,Salt Lake City,Utah,United States
8,Abby McLaughlin,Developing conceptions of forgiveness across the lifespan,Children’s restorative justice in an intergroup context,Boston College,42.3354481,-71.16826648999114,Middlesex County,Newton,Massachusetts,United States
9,Joshua Knobe,Biological essentialism correlates with (but doesn't cause?) intergroup bias,Minimal but meaningful: Probing the limits of randomly assigned social identities,Yale University,41.25713055,-72.98966960152231,South Central Connecticut Planning Region,,Connecticut,United States
10,Julian Jara-Ettinger, The institutional stance,Testing the limits of structural thinking about gender,Yale University,41.25713055,-72.98966960152231,South Central Connecticut Planning Region,,Connecticut,United States
11,Sarah Schnitker,Advantages of using multilevel modeling approaches for the Many Analysts Religion Project,A many-analysts approach to the relation between religiosity and well-being,Baylor University,31.55043405,-97.1102905567766,McLennan County,Waco,Texas,United States
12,May Ling Halim,Testing the generalizability of minimal group attitudes in minority and majority race children,Children’s restorative justice in an intergroup context,Long Beach,33.7690164,-118.191604,Los Angeles County,Long Beach,California,United States
13,Kyong-sun Jin,The sense of belonging reduces ingroup favoritism in children,Children’s restorative justice in an intergroup context,Korea,37.9528488,126.73311710879327,,Paju-si,,South Korea
14,Kyong-sun Jin,The sense of belonging reduces ingroup favoritism in children,Children’s restorative justice in an intergroup context,Sungshin Women's University,37.59135585,127.02220736322735,,Seoul,,South Korea
15,Xin Yang,Navigating the Social World: Children's Developing Understanding of Groups and Inequalities,Children’s restorative justice in an intergroup context,Yale University,41.25713055,-72.98966960152231,South Central Connecticut Planning Region,,Connecticut,United States
16,Gaurav Saxena,[BOOK][B] Religious and spiritual practices in India: A positive psychological perspective,A many-analysts approach to the relation between religiosity and well-being,University of Bristol,51.4905582,-2.6304824978595356,North Somerset,,England,United Kingdom
17,Nagihan taşdemir,Together we stand? Belonging motive moderates the effect of national ingroup salience on attitudes towards ethnic minorities,Minimal but meaningful: Probing the limits of randomly assigned social identities,Anadolu Üniversitesi,39.794487447580195,30.49525747657277,,,,Turkey
18,elis.puspitasari 1,Persepsi Siswa Miskin mengenai Perilaku Siswa Kaya di Sekolah,Emerging complexity in children's conceptualization of the wealthy and the poor,Universitas Jenderal Soedirman,-7.4033788000000005,109.2459047355122,Banyumas,Purwokerto,Central Java,Indonesia
19,Jinting Liu (刘金婷),Bright side of the MAOA-uVNTR on trait and situational forgiveness,Children’s restorative justice in an intergroup context,Sociology,53.545384999999996,-2.107201003490049,,,England,United Kingdom
20,Joni Sasaki,How do culture and religion interact worldwide? A cultural match approach to understanding religiosity and well-being in the Many Analysts Religion Project,A many-analysts approach to the relation between religiosity and well-being,University of Hawaiʻi at Mānoa,21.2982795,-157.8186931584255,Honolulu County,East Honolulu,Hawaii,United States
21,Morgan J Sidari,Facial hair may slow detection of happy facial expressions in the face in the crowd paradigm,To which world regions does the valence–dominance model of social perception apply?,Health Service,28.2964976,83.7520355,Parbat,,Gandaki Province,Nepal
22,Jamie Amemiya,Thinking structurally: A cognitive framework for understanding how people attribute inequality to structural causes,Testing the limits of structural thinking about gender,Occidental College,34.12719495,-118.20992029989196,Los Angeles County,Los Angeles,California,United States
23,Tracy Gleason,Effortful control is associated with ethnic minority children's pro-wealth biases and explanations across social domains.,Emerging complexity in children's conceptualization of the wealthy and the poor,Wellesley College,42.291776049999996,-71.3032751636105,Norfolk County,,Massachusetts,United States
24,Eric Hehman,Doing better data visualization,To which world regions does the valence–dominance model of social perception apply?,McGill University,45.50688675,-73.57908551043636,Urban agglomeration of Montreal,Montreal,Quebec,Canada
25,Brenda C Straka,Testing the generalizability of minimal group attitudes in minority and majority race children,Children’s restorative justice in an intergroup context,University of Illinois Urbana-Champaign,40.076154450000004,-88.22331340640494,Champaign County,Urbana,Illinois,United States
26,Dominik Deffner,A causal framework for cross-cultural generalizability,To which world regions does the valence–dominance model of social perception apply?,Psychology,40.5964565,-74.14962047239055,,New York,New York,United States
27,Luke W. Galen,Testing the religion/spirituality-mental health curvilinear hypothesis using data from many-analysts religion project,A many-analysts approach to the relation between religiosity and well-being,Grand Valley State University,42.9678586,-85.89964904754231,Ottawa County,,Michigan,United States
28,Michelle M Wang,Effortful control is associated with ethnic minority children's pro-wealth biases and explanations across social domains.,Emerging complexity in children's conceptualization of the wealthy and the poor,New York University,40.729205300000004,-73.99501481290962,New York County,New York,New York,United States
29,Samuel A. Mehr,Developmental psychologists should adopt citizen science to improve generalization and reproducibility,To which world regions does the valence–dominance model of social perception apply?,Child Study Center,32.747229,-97.3404113,Tarrant County,Fort Worth,Texas,United States
30,Taylor Wood,Nice or Rich? An Examination of Children's Preferences for Wealth and Positive Personality Traits,Emerging complexity in children's conceptualization of the wealthy and the poor,Greensboro,36.0726355,-79.7919754,Guilford County,Greensboro,North Carolina,United States
31,Nicholas A. Coles,Build up big-team science,To which world regions does the valence–dominance model of social perception apply?,Assistant Professor,22.3199835,91.7839269,,Chattogram,Chattogram Division,Bangladesh
32,Karel Karsten Himawan,Religion and well-being in Indonesia: Exploring the role of religion in a society where being atheist is not an option,A many-analysts approach to the relation between religiosity and well-being,The University of Queensland,-27.49741805,153.01316955983583,,,Queensland,Australia
33,Richard D. Morey,Beyond statistical ritual: Theory in psychological science,To which world regions does the valence–dominance model of social perception apply?,Reader,39.5689689,-80.7328765,Wetzel County,,West Virginia,United States
34,May Ling Halim,Testing the generalizability of minimal group attitudes in minority and majority race children,Minimal but meaningful: Probing the limits of randomly assigned social identities,Long Beach,33.7690164,-118.191604,Los Angeles County,Long Beach,California,United States
35,Gil Diesendruck,"Children hold leaders primarily responsible, not entitled",In defense of the commons: Young children negatively evaluate and sanction free riders,Gonda Brain Research Center,32.07260055,34.84598088889908,,,Tel-Aviv District,Israel
36,Zak Witkower,Registered report: Social face evaluation: ethnicity-specific differences in the judgement of trustworthiness of faces and facial parts,To which world regions does the valence–dominance model of social perception apply?,University of Amsterdam,52.36813335,4.889804155733945,,Amsterdam,North Holland,Netherlands
